Adv. Campaign,Clicks,Time
Ancestry US CA UK AU DE,16955,E-May'23
Myntra,7432,E-May'23
Nykaafashion [CPS] IN,4309,E-May'23
Flipkart,1381,E-May'23
Alamy WW,1812,E-May'23
Wish Many GEO's,1697,E-May'23
Ajio,3184,E-May'23
Netmeds Web [CPS] IN,2452,E-May'23
Urbanic [CPS] IN,2078,E-May'23
GOINDIGO [ CPS ] IN,4920,E-May'23
Vistara [CPS] IN,1166,E-May'23
Alibaba WW,20087,E-May'23
Admitad Lite,7780,E-May'23
Insider [CPS] IN,3056,E-May'23
TheOutNet GCC,1252,E-May'23
Lenovo Many GEOs,12551,G-Jul'23
Udemy WW,41243,G-Jul'23
Macy's Many GEOs,5758,G-Jul'23
Microsoft [CPS] IN US APAC,118528,G-Jul'23
ZipRecruiter US,11432,G-Jul'23
Norton [CPS] WW,6870,G-Jul'23
Wondershare WW,3583,G-Jul'23
Alibaba WW,7525,G-Jul'23
Alamy WW,1729,G-Jul'23
Nike [CPS] APAC,95277,G-Jul'23
Nykaa Beauty [CPS] IN,3762,G-Jul'23
Ancestry US CA UK AU DE,12304,G-Jul'23
Nykaafashion [CPS] IN,2623,G-Jul'23
Ajio,3397,G-Jul'23
Titan [CPS] IN,1136,G-Jul'23
Netmeds Web [CPS] IN,2521,G-Jul'23
Wish Many GEO's,1596,G-Jul'23
Trainline WW,49965,G-Jul'23
Shutterstock WW,18736,G-Jul'23
Fossil [CPS] IN,1341,G-Jul'23
Lenovo Many GEOs,1788,H-Aug'23
OnePlus [CPS] Many Geos,1789,H-Aug'23
Croma [CPS] IN,4479,H-Aug'23
Depositphotos [CPS] WW,4303,H-Aug'23
Aliexpress TR,3305,H-Aug'23
Microsoft [CPS] IN US APAC,2663,H-Aug'23
Shutterstock WW,2281,H-Aug'23
Ancestry US CA UK AU DE,1305,H-Aug'23
Alamy WW,1524,H-Aug'23
Shutterstock WW,1576,I-Sept'23
TataCliq [CPS] IN,1175,J-Oct'23
Nykaa Beauty [CPS] IN,1164,J-Oct'23
Flipkart,64524,J-Oct'23
Shutterstock WW,1203,J-Oct'23
Reliance Digital [CPS] IN,2633,J-Oct'23
Kamaayurveda [CPS] Many Geo's,4936,K-Nov'23
Croma [CPS] IN,3560,K-Nov'23
Kamaayurveda [CPS] Many Geo's,8543,L-Dec'23
Myntra,21476,L-Dec'23
Norton [CPS] WW,1273,L-Dec'23
Flipkart,1282,L-Dec'23
Croma [CPS] IN,9040,L-Dec'23
H&M Many GEOs,7624,L-Dec'23
Aqualens [CPS] IN,1545,L-Dec'23
TheayurvedaCo [CPS] IN,1555,M-Jan'24
Kamaayurveda [CPS] Many Geo's,2719,M-Jan'24
Flipkart,5808,M-Jan'24
Kaspersky Many GEOs,1367,M-Jan'24
Shutterstock WW,2316,M-Jan'24
TheayurvedaCo [CPS] IN,3869,N-Feb'24
Flipkart,10726,N-Feb'24
Ajio,3247,N-Feb'24
Shutterstock WW,1944,N-Feb'24
Flipkart,80335,D-Apr'23
Flipkart,43172,E-May'23
Udemy WW,34506,E-May'23
Myntra,34270,E-May'23
Ajio,19634,E-May'23
Firstcry [CPS] IN,2108,E-May'23
Banggood,3198,E-May'23
Alibaba WW,4068,E-May'23
Titan [CPS] IN,1139,E-May'23
