Adv. Campaign,Clicks,Time
TutorialsPoint.com CPS - Worldwide,2310,G-Jul'23
ClearTrip.com CPS - India,2222,G-Jul'23
Makemytrip.com Domestic Hotels CPS - India,8346,G-Jul'23
Pepperfry.com CPS - India,6259,G-Jul'23
Shopee.com.my CPS - Malaysia,7037,G-Jul'23
"Oneplus.com CPS - DE, FR, IN, US, CA, UK & EMEA",1282,G-Jul'23
Tatacliq.com CPS - India,1524,G-Jul'23
Kiwi.com CPS - Worldwide,1696,H-Aug'23
Aliexpress.com CPS - Worldwide,14803,H-Aug'23
TutorialsPoint.com CPS - Worldwide,1187,H-Aug'23
Shopee.com.my CPS - Malaysia,5821,H-Aug'23
Shopee.com.my CPS - Malaysia,9851,I-Sept'23
Aliexpress.com CPS - Worldwide,20475,I-Sept'23
Makemytrip.com Domestic Hotels CPS - India,1102,I-Sept'23
TutorialsPoint.com CPS - Worldwide,1064,I-Sept'23
Kiwi.com CPS - Worldwide,1253,I-Sept'23
Shopee.com.my CPS - Malaysia,4541,J-Oct'23
Aliexpress.com CPS - Worldwide,9404,J-Oct'23
Aliexpress.com CPS - Worldwide,10999,K-Nov'23
Shopee.com.my CPS - Malaysia,4171,K-Nov'23
Kiwi.com CPS - Worldwide,2091,L-Dec'23
Aliexpress.com CPS - Worldwide,11086,L-Dec'23
Shopee.com.my CPS - Malaysia,3480,L-Dec'23
Kiwi.com CPS - Worldwide,5215,M-Jan'24
Yesstyle.com CPS - Worldwide,2480,M-Jan'24
Aliexpress.com CPS - Worldwide,29880,M-Jan'24
Croma.com CPS - India,2970,D-Apr'23
Zulily.com CPS - USA,2284,D-Apr'23
Yesstyle.com CPS - Worldwide,7574,D-Apr'23
boAt-lifestyle.com CPS - India,1148,D-Apr'23
MakeMyTrip.com Domestic Flights CPS - India,12047,D-Apr'23
Shopee.co.th CPS - Thailand,10552,D-Apr'23
ClearTrip.com CPS - India,3088,D-Apr'23
Shopee.com.my CPS - Malaysia,2741,D-Apr'23
Makemytrip.com Domestic Hotels CPS - India,12832,D-Apr'23
Cottonon.com CPS -Worldwide,3990,D-Apr'23
"Oneplus.com CPS - DE, FR, IN, US, CA, UK & EMEA",6176,D-Apr'23
LightintheBox.com CPS - Worldwide,4365,D-Apr'23
NordVPN.com Utility CPS - Worldwide,1935,D-Apr'23
Shopee.co.id CPS - Indonesia,5911,D-Apr'23
Omio.com CPS - Worldwide,2772,D-Apr'23
Shopee.co.th CPS - Thailand,1103,E-May'23
Cottonon.com CPS -Worldwide,3350,E-May'23
NordVPN.com Utility CPS - Worldwide,1303,E-May'23
Yesstyle.com CPS - Worldwide,5680,E-May'23
Makemytrip.com Domestic Hotels CPS - India,6503,E-May'23
ClearTrip.com CPS - India,1002,E-May'23
Etihad.com CPS - Worldwide,1780,E-May'23
Shopee.com.my CPS - Malaysia,3879,E-May'23
MakeMyTrip.com Domestic Flights CPS - India,7013,E-May'23
Zulily.com CPS - USA,1085,E-May'23
LightintheBox.com CPS - Worldwide,3318,E-May'23
LightintheBox.com CPS - Worldwide,2797,F-Jun'23
MakeMyTrip.com Domestic Flights CPS - India,5966,F-Jun'23
Makemytrip.com Domestic Hotels CPS - India,5181,F-Jun'23
Etihad.com CPS - Worldwide,2453,F-Jun'23
Yesstyle.com CPS - Worldwide,4874,F-Jun'23
Benetton.com CPS - India,1463,F-Jun'23
Shopee.com.my CPS - Malaysia,6455,F-Jun'23
NordVPN.com Utility CPS - Worldwide,1261,F-Jun'23
Walmart,11333,A-Jan'23
Walmart,22865,B-Feb'23
Atlas VPN,1049,B-Feb'23
Walmart,25971,C-Mar'23
Walmart,24673,D-Apr'23
Walmart,26775,E-May'23
Atlas VPN,1142,E-May'23
Walmart,23699,F-Jun'23
Atlas VPN,2014,F-Jun'23
Banggood,1062,F-Jun'23
Walmart,6951,G-Jul'23
NordVPN,1827,G-Jul'23
Envato Elements,1356,G-Jul'23
Walmart,4588,H-Aug'23
NordVPN,1847,H-Aug'23
Envato Elements,1367,H-Aug'23
Walmart,3602,I-Sept'23
NordVPN,1411,I-Sept'23
Envato Elements,1172,I-Sept'23
Walmart,3230,J-Oct'23
NordVPN,1265,J-Oct'23
Envato Elements,1112,J-Oct'23
Walmart,3216,K-Nov'23
Walmart,3677,L-Dec'23
NordVPN,1194,L-Dec'23
Walmart,8386,M-Jan'24
NordVPN,1593,M-Jan'24
DHgate,1378,M-Jan'24
Web.com,4178,M-Jan'24
Envato Elements,1613,M-Jan'24
Lenovo India,1564,M-Jan'24
Walmart,6438,N-Feb'24
NordVPN,1237,N-Feb'24
Web.com,4697,N-Feb'24
Lenovo India,2334,N-Feb'24
Ajio [CPS] IN,21417,O-Mar'24
Flipkart [CPS] IN,1885,O-Mar'24
Shutterstock WW,1779,O-Mar'24
Aqualens [CPS] IN,1100,O-Mar'24
Alibaba WW,9463,N-Feb'24
Udemy WW,29116,N-Feb'24
Pdffiller Many Geos,2241,N-Feb'24
Expedia [CPS] Many Geos,2126,N-Feb'24
Norton [CPS] WW,5836,N-Feb'24
Ancestry US CA UK AU DE,4787,N-Feb'24
Nike [CPS] APAC,11638,N-Feb'24
Flipkart [CPS] IN,2712,N-Feb'24
GAP AE SA KW Offline codes & Links,2302,N-Feb'24
H&M Many GEOs,52614,N-Feb'24
Alibaba WW,9539,O-Mar'24
Pdffiller Many Geos,3922,O-Mar'24
Udemy WW,35639,O-Mar'24
Norton [CPS] WW,3658,O-Mar'24
Ancestry US CA UK AU DE,7146,O-Mar'24
Flipkart [CPS] IN,4064,O-Mar'24
Nike [CPS] APAC,11491,O-Mar'24
Depositphotos [CPS] WW,1193,O-Mar'24
GAP AE SA KW Offline codes & Links,1491,O-Mar'24
H&M Many GEOs,58980,O-Mar'24
Footlocker AE SA KW,1896,O-Mar'24
Ajio,7049,D-Apr'23
Adidas,5961,O-Mar'24
Guardian,2248,O-Mar'24
"Chegg, Inc.",6475,P-Apr'24
Uber Global Riders,3901,P-Apr'24
Upwork,1336,P-Apr'24
Web.com,3845,P-Apr'24
Envato Elements,1174,P-Apr'24
Kiwi.com CPS - Worldwide,3322,N-Feb'24
Aliexpress.com CPS - Worldwide,20853,N-Feb'24
Yesstyle.com CPS - Worldwide,2049,N-Feb'24
Kiwi.com CPS - Worldwide,3514,O-Mar'24
Yesstyle.com CPS - Worldwide,1923,O-Mar'24
Aliexpress.com CPS - Worldwide,26542,O-Mar'24
"Chegg, Inc.",4325,M-Jan'24
"Chegg, Inc.",7999,N-Feb'24
"Chegg, Inc.",6608,O-Mar'24
DHgate,47001,M-Jan'24
Uber Global Riders,5323,M-Jan'24
Upwork,2273,M-Jan'24
DHgate,175032,N-Feb'24
Uber Global Riders,4081,N-Feb'24
Upwork,1615,N-Feb'24
Web.com,4374,N-Feb'24
Best Buy U.S,1782,N-Feb'24
Envato Elements,1402,N-Feb'24
DHgate,272519,O-Mar'24
Uber Global Riders,4290,O-Mar'24
Upwork,1382,O-Mar'24
Web.com,4721,O-Mar'24
Envato Elements,1381,O-Mar'24
Walmart Affiliate Program,6434,O-Mar'24
NordVPN,1304,O-Mar'24
Web.com,4845,O-Mar'24
Lenovo India,2136,O-Mar'24
Thriftbooks - CPS,4901,O-Mar'24
Shopify CPA,32033,O-Mar'24
Myprotein - CPS,3868,O-Mar'24
Nexo - CPA,1233,O-Mar'24
Temu Global - CPS,33308,O-Mar'24
1 password,3116,M-Jan'24
1 password,2952,N-Feb'24
1 password,3214,O-Mar'24
Myntra,4898,M-Jan'24
Flipkart,46927,M-Jan'24
Myntra,8108,N-Feb'24
Flipkart,19125,N-Feb'24
Ajio,4871,N-Feb'24
Myntra,36487,O-Mar'24
Flipkart,42237,O-Mar'24
Ajio [CPS] IN,20588,P-Apr'24
Shutterstock WW,1717,P-Apr'24
Croma [CPS] IN,1789,P-Apr'24
Flipkart [CPS] IN,1512,P-Apr'24
Alibaba WW,8398,P-Apr'24
Pdffiller Many Geos,4369,P-Apr'24
Udemy WW,26596,P-Apr'24
Norton [CPS] WW,3701,P-Apr'24
Ancestry US CA UK AU DE,8510,P-Apr'24
Nike [CPS] APAC,10462,P-Apr'24
Flipkart [CPS] IN,2593,P-Apr'24
GAP AE SA KW Offline codes & Links,1217,P-Apr'24
Puma [CPS] IN,1301,P-Apr'24
H&M Many GEOs,68330,P-Apr'24
Footlocker AE SA KW,1290,P-Apr'24
Bath and Body Works [CPS] IN,3350,P-Apr'24
Croma Retail,7166,P-Apr'24
Pepperfry,1683,P-Apr'24
