,index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
10,10,1054061201,17980080YRDA5176ED,5306,1054061201,14719,Firstcry [CPS] IN,Real Pricetracker,,,IN,44,Paid order - Sale,sale,4269.63,pending,0,aab,,,,,35,INR,,,0,,5/20/2024 20:03,5/20/2024 20:03,,5/20/2024 20:03,1254287821,5981,5/20/2024 20:03,4269.63,35,35,281962,FALSE,,13830531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,1054725814,gpt-1080736422|course|2405916,16622,1054725814,22448,Udemy WW,Real Pricetracker,,,TR,803,Paid course,sale,4.03,pending,0,tabm,,,,,0.32,USD,,,0,,5/19/2024 22:14,5/19/2024 22:28,,5/23/2024 13:23,1255457946,21660,5/19/2024 22:28,4.03,0.32,7.95,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,1054725767,gpt-1080680616|course|5771006,16622,1054725767,22448,Udemy WW,Real Pricetracker,,,US,-524,Paid course,sale,139.99,pending,0,tabm,,,,,11.2,USD,,,0,,5/19/2024 19:36,5/19/2024 19:28,,5/23/2024 13:23,1255457895,21660,5/19/2024 19:28,139.99,11.2,8.01,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,1054725661,gpt-1080662182|course|5602528,16622,1054725661,22448,Udemy WW,Real Pricetracker,,,TR,-1101,Paid course,sale,4.03,pending,0,tabm,,,,,0.32,USD,,,0,,5/19/2024 18:49,5/19/2024 18:31,,5/23/2024 13:23,1255457791,21660,5/19/2024 18:31,4.03,0.32,7.95,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,1054725858,gpt-1080597330|course|5872612,16622,1054725858,22448,Udemy WW,Real Pricetracker,,,US,1451,Paid course,sale,9.99,pending,0,tabm,,,,,0.8,USD,,,0,,5/19/2024 16:01,5/19/2024 16:26,,5/23/2024 13:23,1255457988,21660,5/19/2024 16:26,9.99,0.8,8.01,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,1053689068,126014530,5200,1053689068,14627,Flipkart [CPS] IN,Real Pricetracker,,,US,322,New Customer,sale,3599,pending,0,gmg,,,,,35,INR,,,0,,5/19/2024 9:46,5/19/2024 9:51,,5/19/2024 11:21,1253767523,5686,5/19/2024 9:51,3599,35,0.98,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,1054725816,gpt-1080422076|course|3168324,16622,1054725816,22448,Udemy WW,Real Pricetracker,,,US,1615,Paid course,sale,10.83,pending,0,tabm,,,,,0.87,USD,,,0,,5/19/2024 6:59,5/19/2024 7:26,,5/23/2024 13:23,1255457945,21660,5/19/2024 7:26,10.83,0.87,8.04,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,1054725804,gpt-1080422076|course|736606,16622,1054725804,22448,Udemy WW,Real Pricetracker,,,US,1615,Paid course,sale,10.83,pending,0,tabm,,,,,0.87,USD,,,0,,5/19/2024 6:59,5/19/2024 7:26,,5/23/2024 13:23,1255457934,21660,5/19/2024 7:26,10.83,0.87,8.04,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1054725791,gpt-1080422076|course|1641662,16622,1054725791,22448,Udemy WW,Real Pricetracker,,,US,1615,Paid course,sale,10.83,pending,0,tabm,,,,,0.87,USD,,,0,,5/19/2024 6:59,5/19/2024 7:26,,5/23/2024 13:23,1255457920,21660,5/19/2024 7:26,10.83,0.87,8.04,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,1054725754,gpt-1080422076|course|623700,16622,1054725754,22448,Udemy WW,Real Pricetracker,,,US,1615,Paid course,sale,14.08,pending,0,tabm,,,,,1.12,USD,,,0,,5/19/2024 6:59,5/19/2024 7:26,,5/23/2024 13:23,1255457883,21660,5/19/2024 7:26,14.08,1.12,7.96,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,1054725744,gpt-1080422076|course|1900112,16622,1054725744,22448,Udemy WW,Real Pricetracker,,,US,1615,Paid course,sale,10.83,pending,0,tabm,,,,,0.87,USD,,,0,,5/19/2024 6:59,5/19/2024 7:26,,5/23/2024 13:23,1255457873,21660,5/19/2024 7:26,10.83,0.87,8.04,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,1054725732,gpt-1080422076|course|85446,16622,1054725732,22448,Udemy WW,Real Pricetracker,,,US,1615,Paid course,sale,11.91,pending,0,tabm,,,,,0.96,USD,,,0,,5/19/2024 6:59,5/19/2024 7:26,,5/23/2024 13:23,1255457861,21660,5/19/2024 7:26,11.91,0.96,8.07,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,1054725648,gpt-1080405596|course|3579263,16622,1054725648,22448,Udemy WW,Real Pricetracker,,,CL,-1228,Paid course,sale,14.52,pending,0,avb,,,,,1.16,USD,,,0,,5/19/2024 5:45,5/19/2024 5:25,,5/23/2024 13:23,1255457778,21660,5/19/2024 5:25,14.52,1.16,7.99,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,1054497814,gpt-1080373254|course|4802626,16622,1054497814,22448,Udemy WW,Real Pricetracker,,,JP,275,Paid course,sale,8.35,pending,0,tabm,,,,,0.67,USD,,,0,,5/19/2024 2:19,5/19/2024 2:24,,5/22/2024 13:24,1255070102,21660,5/19/2024 2:24,8.35,0.67,8.03,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1054497835,gpt-1080336920|course|1223900,16622,1054497835,22448,Udemy WW,Real Pricetracker,,,PL,262,Paid course,sale,7.65,pending,0,tabm,,,,,0.61,USD,,,0,,5/18/2024 23:21,5/18/2024 23:26,,5/22/2024 13:24,1255070123,21660,5/18/2024 23:26,7.65,0.61,7.98,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,1054497903,gpt-1080288088|course|2776760,16622,1054497903,22448,Udemy WW,Real Pricetracker,,,BR,1289,Paid course,sale,4.88,pending,0,tabm,,,,,0.39,USD,,,0,,5/18/2024 20:05,5/18/2024 20:27,,5/22/2024 13:24,1255070193,21660,5/18/2024 20:27,4.88,0.39,8,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,1054497807,gpt-1080299656|course|1446232,16622,1054497807,22448,Udemy WW,Real Pricetracker,,,TR,-1446,Paid course,sale,4.04,pending,0,tabm,,,,,0.32,USD,,,0,,5/18/2024 20:47,5/18/2024 20:23,,5/22/2024 13:24,1255070097,21660,5/18/2024 20:23,4.04,0.32,7.93,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,1054497765,gpt-1080118460|course|1151632,16622,1054497765,22448,Udemy WW,Real Pricetracker,,,IN,-284,Paid course,sale,4.79,pending,0,avb,,,,,0.38,USD,,,0,,5/18/2024 10:48,5/18/2024 10:44,,5/22/2024 13:24,1255070053,21660,5/18/2024 10:44,4.79,0.38,7.94,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,1054275876,gpt-1079977620|course|3164478,16622,1054275876,22448,Udemy WW,Real Pricetracker,,,US,-135,Paid course,sale,11.3,pending,0,tabm,,,,,0.9,USD,,,0,,5/17/2024 23:35,5/17/2024 23:33,,5/21/2024 14:23,1254683043,21660,5/17/2024 23:33,11.3,0.9,7.97,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,1054275874,gpt-1079977620|course|1984658,16622,1054275874,22448,Udemy WW,Real Pricetracker,,,US,-135,Paid course,sale,15.83,pending,0,tabm,,,,,1.27,USD,,,0,,5/17/2024 23:35,5/17/2024 23:33,,5/21/2024 14:23,1254683041,21660,5/17/2024 23:33,15.83,1.27,8.03,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
