Inventory,Campaign_Name,Id,Status,Date,Amount,Payout,Currency,Sub_Id
hyyzo,Myntra,16856309,pending,5/2/2024,1100,49.5,INR,uVG8uoYD6HvahBg50MFl
hyyzo,Myntra,16856351,pending,5/2/2024,1100,49.5,INR,4ZxL1vaZe69rZHFBRWnj
hyyzo,Myntra,16856386,pending,5/2/2024,1100,49.5,INR,7FsRAUE8uqtCOJqAryFA
hyyzo,Myntra,16856441,pending,5/2/2024,1100,49.5,INR,ewjRzdFlmjOlq8R6FwpQ
hyyzo,Myntra,16856447,pending,5/2/2024,1100,49.5,INR,NQkhD3b9kchLOGAyfThw
hyyzo,Myntra,16856526,pending,5/2/2024,1100,49.5,INR,vk4KulqBBdDLpekkA1Ir
hyyzo,Myntra,16856537,pending,5/2/2024,1100,49.5,INR,IT2oeCxxedpX8muig6sW
hyyzo,Myntra,16856539,pending,5/2/2024,1100,49.5,INR,PT2oK3G8JglKeMZlc7mi
hyyzo,Myntra,16856546,pending,5/2/2024,2392,107.64,INR,yB6ikQS7rwV31zrUUBIK
hyyzo,Myntra,16856630,pending,5/2/2024,1100,49.5,INR,UIpSDXMjswmWeQAwknBl
hyyzo,Myntra,16856635,pending,5/2/2024,1100,49.5,INR,7FsRAUE8uqtCOJqAryFA
hyyzo,Myntra,16856643,pending,5/2/2024,1100,49.5,INR,h1AK7wyS8GtnWhz2qUQ9
hyyzo,Myntra,16856702,pending,5/2/2024,1100,49.5,INR,xpu3usS3tdjPcbh5QX9h
hyyzo,Myntra,16915975,pending,5/1/2024,2042,91.89,INR,lkZZtTgZJv22lram81r3
hyyzo,Myntra,16916725,pending,5/3/2024,2526.0001,113.67,INR,YSnOCt8yq0VgiP97etQ7
hyyzo,Myntra,16916741,pending,5/3/2024,1144,51.48,INR,CwqfO4WBbAWmbpRDfYff
hyyzo,Myntra,16916779,pending,5/3/2024,4427,199.22,INR,YSnOCt8yq0VgiP97etQ7
,Myntra,16916971,pending,5/4/2024,299,13.46,INR,ZTGZDzFt0jg1jW3lJg4n
hyyzo,Myntra,16917659,pending,5/5/2024,508,22.86,INR,G60IuXDoG2N96VxKSfEr
hyyzo,Croma Retail,16957253,pending,5/8/2024,3064,85.6,INR,lCqTHY18v2TbzW89QRNB
hyyzo,Myntra,16957708,pending,5/7/2024,4638.0001,208.71,INR,BhPDcI93xYsrvDyRqFRz
hyyzo,Myntra,16975839,pending,5/8/2024,227.1046,10.22,INR,ci0UmtsCpgqWE3rm3HMk
hyyzo,Myntra,16980497,pending,5/9/2024,4528,203.76,INR,Sai9b1MNKK2R47xpvuBT
hyyzo,Myntra,17016439,pending,5/11/2024,1199,53.96,INR,MrzNdjhjJPw3YJmne9SV
