,Id,CampaignId,CampaignName,ActionTrackerName,ActionTrackerId,EventCode,State,AdId,Payout,DeltaPayout,IntendedPayout,Amount,DeltaAmount,IntendedAmount,Currency,ReferringDate,EventDate,CreationDate,LockingDate,ClearedDate,ReferringType,ReferringDomain,PromoCode,Oid,CustomerArea,CustomerCity,CustomerRegion,CustomerCountry,SubId1,SubId2,SubId3,SharedId,Uri
12,12282.5863.526126,12282,Hostinger,Online Sale,22574,,APPROVED,888231,161.47,161.47,161.47,403.66,403.66,403.66,USD,2024-01-20T23:33:21+05:30,2024-01-20T23:41:41+05:30,2024-01-20T23:50:19+05:30,2024-03-16T02:30:00+05:30,2024-04-14T02:41:16+05:30,CLICK_COOKIE,,,,n/a,Gurugram,Haryana,IN,5OeGY7jsA24KrYMsSrKb,203,hyyzo,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/12282.5863.526126
13,15608.5870.1069432,15608,Airalo - The World's First eSIM Store,Sale,29336,,APPROVED,1268485,0.45,0.45,0.45,4.50,4.50,4.50,USD,2024-01-28T09:58:29+05:30,2024-01-28T09:58:32+05:30,2024-01-28T10:08:12+05:30,2024-02-08T05:30:00+05:30,2024-02-28T05:51:11+05:30,CLICK_COOKIE,,,,N/A,Palo Negro,Aragua,VE,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15608.5870.1069432
14,15608.5870.1295792,15608,Airalo - The World's First eSIM Store,Sale,29336,,APPROVED,1268485,0.85,0.85,0.85,8.50,8.50,8.50,USD,2024-01-28T12:58:54+05:30,2024-01-28T13:04:19+05:30,2024-01-28T13:13:15+05:30,2024-02-08T05:30:00+05:30,2024-02-28T05:51:11+05:30,CLICK_COOKIE,,,,n/a,Singapore,n/a,SG,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15608.5870.1295792
15,19663.5871.988022,19663,ELEGOO,Online Sale US,37499,,APPROVED,1692726,3.50,3.50,3.50,69.99,69.99,69.99,USD,2024-01-29T06:19:23+05:30,2024-01-29T06:20:31+05:30,2024-01-29T06:28:20+05:30,2024-02-27T21:30:00+05:30,2024-03-20T21:58:23+05:30,CLICK_COOKIE,,,,N/A,Sheffield,England,GB,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/19663.5871.988022
16,19663.5875.161743,19663,ELEGOO,Online Sale EU,43251,,REVERSED,1692726,0.00,0.00,3.62,0.00,0.00,72.37,USD,2024-02-01T18:44:09+05:30,2024-02-01T18:44:13+05:30,2024-02-01T18:53:12+05:30,2024-03-20T21:30:00+05:30,2024-04-20T22:00:00+05:30,CLICK_COOKIE,,,,N/A,Gelsenkirchen,North Rhine-Westphalia,DE,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/19663.5875.161743
17,19663.5878.731972,19663,ELEGOO,Online Sale EU,43251,,APPROVED,1692726,3.29,3.29,3.29,65.76,65.76,65.76,USD,2024-02-05T02:37:21+05:30,2024-02-05T02:37:24+05:30,2024-02-05T02:46:18+05:30,2024-03-20T21:30:00+05:30,2024-04-20T22:00:00+05:30,CLICK_COOKIE,,,,N/A,Gelsenkirchen,North Rhine-Westphalia,DE,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/19663.5878.731972
18,9043.5880.175540,9043,Surfshark,Conversion,16153,,REVERSED,529009,0.00,0.00,22.95,0.00,0.00,57.38,USD,2024-02-06T18:51:21+05:30,2024-02-06T18:53:00+05:30,2024-02-06T19:04:13+05:30,2024-04-16T02:30:00+05:30,,CLICK_COOKIE,,,,N/A,Baraki,Shizuoka,JP,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/9043.5880.175540
19,19663.5882.13215,19663,ELEGOO,Online Sale EU,43251,,APPROVED,1692726,4.60,4.60,4.60,91.50,91.50,91.50,USD,2024-02-08T04:08:42+05:30,2024-02-08T13:59:35+05:30,2024-02-08T14:09:13+05:30,2024-03-20T21:30:00+05:30,2024-04-20T22:00:00+05:30,CLICK_COOKIE,,,,N/A,Gelsenkirchen,North Rhine-Westphalia,DE,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/19663.5882.13215
20,12282.5883.243508,12282,Hostinger,Online Sale,22574,,APPROVED,888231,65.30,65.30,65.30,163.24,163.24,163.24,USD,2024-02-09T20:06:55+05:30,2024-02-09T20:08:47+05:30,2024-02-09T20:20:22+05:30,2024-04-16T02:30:00+05:30,2024-05-15T02:43:23+05:30,CLICK_COOKIE,,,,N/A,Palhoca,Santa Catarina,BR,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/12282.5883.243508
21,19663.5885.1496226,19663,ELEGOO,Online Sale EU,43251,,REVERSED,1692726,0.00,0.00,3.02,0.00,0.00,60.37,USD,2024-02-12T12:54:22+05:30,2024-02-12T12:55:55+05:30,2024-02-12T13:04:14+05:30,2024-03-20T21:30:00+05:30,2024-04-20T22:00:00+05:30,CLICK_COOKIE,,,,N/A,Bigues i Riells,Catalonia,ES,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/19663.5885.1496226
22,12282.5885.1510410,12282,Hostinger,Online Sale,22574,,APPROVED,888231,43.10,43.10,43.10,107.76,107.76,107.76,USD,2024-02-12T12:59:46+05:30,2024-02-12T13:24:45+05:30,2024-02-12T13:37:34+05:30,2024-04-16T02:30:00+05:30,2024-05-15T02:43:23+05:30,CLICK_COOKIE,,,,N/A,Winfield,West Virginia,US,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/12282.5885.1510410
