,index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
66,66,1052139854,481409294,14275,1052139854,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,25,Conversion,sale,49.0,pending,0,tabm,,,,,7.0,USD,,,0,,2024-05-12 22:37:35,2024-05-12 22:38:00,,2024-05-12 23:23:04,1251106879,18508,2024-05-12 22:38:00,49.00,7.00,14.29,,True,,,,,,
67,67,1051972937,481320730,14275,1051972937,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,5,Conversion,sale,,pending,0,tabm,,,,,0.0,USD,,,0,,2024-05-12 01:05:55,2024-05-12 01:06:00,,2024-05-12 01:24:18,1250824979,18508,2024-05-12 01:06:00,0.00,0.00,0.00,,True,,,,,,
68,68,1051979292,123903187,5200,1051979292,14627,Flipkart [CPS] IN,Real Pricetracker,,,IN,363,New Customer,sale,35614.0,pending,0,gmg,,,,,0.0,INR,,,0,,2024-05-11 22:52:41,2024-05-11 22:58:44,,2024-05-12 03:16:07,1250831813,5686,2024-05-11 22:58:44,35614.00,0.00,0.00,,True,,,,,,
69,69,1051901866,G10167554433,17749,1051901866,23004,Nike [CPS] APAC,Real Pricetracker,,,MY,31,Sales,sale,22.68,pending,0,tabm,,,,,0.97,USD,,,0,,2024-05-11 14:03:07,2024-05-11 14:03:38,,2024-05-11 14:22:57,1250740167,23336,2024-05-11 14:03:38,22.68,0.97,4.28,,True,,,,,,
70,70,1051896345,15962.5975.86692,28955,1051896345,30956,Pdffiller Many Geos,Real Pricetracker,,,CA,2558690,Sale,sale,162.72,pending,0,tabm,,,,,40.0,USD,,,0,,2024-04-11 22:15:33,2024-05-11 13:00:23,,2024-05-11 13:32:09,1250732900,63584,2024-05-11 13:00:23,162.72,40.00,40.00,,False,,,,,,
71,71,1051783303,1261534,28206,1051783303,29435,Dot&Key [CPS] IN,xocoupon,,,IN,26675,Sale,sale,865.97,pending,0,aab,,,,,90.93,INR,,,0,,2024-05-10 20:20:00,2024-05-11 03:44:35,,2024-05-11 03:44:35,1250500476,48259,2024-05-11 03:44:35,865.97,90.93,10.50,521334.0,True,,,,,,
72,72,1052588927,gpt-1077142232|course|4632954,16622,1052588927,22448,Udemy WW,Real Pricetracker,,,US,287,Paid course,sale,14.58,pending,0,tabm,,,,,1.16,USD,,,0,,2024-05-11 01:29:13,2024-05-11 01:34:00,,2024-05-14 13:23:30,1251841707,21660,2024-05-11 01:34:00,14.58,1.16,7.96,,True,,,,,,
73,73,1052589033,gpt-1077099896|course|1917546,16622,1052589033,22448,Udemy WW,Real Pricetracker,,,IN,1732,Paid course,sale,5.98,pending,0,tabm,,,,,0.48,USD,,,0,,2024-05-10 22:05:08,2024-05-10 22:34:00,,2024-05-14 13:23:32,1251841814,21660,2024-05-10 22:34:00,5.98,0.48,8.03,,True,,,,,,
74,74,1052589040,gpt-1077099068|course|1635880,16622,1052589040,22448,Udemy WW,Real Pricetracker,,,US,1700,Paid course,sale,16.99,pending,0,tabm,,,,,1.36,USD,,,0,,2024-05-10 22:02:40,2024-05-10 22:31:00,,2024-05-14 13:23:32,1251841820,21660,2024-05-10 22:31:00,16.99,1.36,8.01,,True,,,,,,
75,75,1051747605,481228278,14275,1051747605,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,GB,11,Conversion,sale,11.49,pending,0,tabm,,,,,1.64,USD,,,0,,2024-05-10 21:29:49,2024-05-10 21:30:00,,2024-05-10 22:22:54,1250461997,18508,2024-05-10 21:30:00,11.49,1.64,14.28,,True,,,,,,
76,76,1052588977,gpt-1077067548|course|5183438,16622,1052588977,22448,Udemy WW,Real Pricetracker,,,CA,234,Paid course,sale,16.8,pending,0,tabm,,,,,1.34,USD,,,0,,2024-05-10 20:27:06,2024-05-10 20:31:00,,2024-05-14 13:23:30,1251841757,21660,2024-05-10 20:31:00,16.80,1.34,7.98,,True,,,,,,
77,77,1051728705,G10167433699,17749,1051728705,23004,Nike [CPS] APAC,Real Pricetracker,,,TW,41,Sales,sale,52.3,pending,0,tabm,,,,,2.24,USD,,,0,,2024-05-10 19:11:53,2024-05-10 19:12:34,,2024-05-10 19:22:59,1250439575,23336,2024-05-10 19:12:34,52.30,2.24,4.29,,True,,,,,,
78,78,1051721484,G10167411170,17749,1051721484,23004,Nike [CPS] APAC,Real Pricetracker,,,MY,26,Sales,sale,20.14,pending,0,tabm,,,,,0.86,USD,,,0,,2024-05-10 17:42:29,2024-05-10 17:42:55,,2024-05-10 18:23:10,1250430651,23336,2024-05-10 17:42:55,20.14,0.86,4.28,,True,,,,,,
79,79,1051695481,123413356,5273,1051695481,14627,Flipkart [CPS] IN,Real Pricetracker,,https://www.flipkart.com/,IN,343,Existing Customer,sale,265.0,pending,0,gmg,,,,,5.6,INR,,,0,,2024-05-10 11:30:35,2024-05-10 11:36:18,,2024-05-10 15:30:08,1250398314,5792,2024-05-10 11:36:18,265.00,5.60,2.12,,True,,,,,,
80,80,1052295328,gpt-1076694828|course|5336068,16622,1052295328,22448,Udemy WW,Real Pricetracker,,,SA,-413,Paid course,sale,19.99,pending,0,tabm,,,,,1.6,USD,,,0,,2024-05-09 21:40:53,2024-05-09 21:34:00,,2024-05-13 13:23:06,1251372431,21660,2024-05-09 21:34:00,19.99,1.60,8.01,,True,,,,,,
81,81,1052295254,gpt-1076619740|course|3032002,16622,1052295254,22448,Udemy WW,Real Pricetracker,,,MX,1248,Paid course,sale,10.58,pending,0,tabm,,,,,0.84,USD,,,0,,2024-05-09 18:16:12,2024-05-09 18:37:00,,2024-05-13 13:23:04,1251372354,21660,2024-05-09 18:37:00,10.58,0.84,7.94,,True,,,,,,
82,82,1051502035,123213171,5273,1051502035,14627,Flipkart [CPS] IN,Real Pricetracker,,,IN,213,Existing Customer,sale,1999.0,pending,0,gmg,,,,,42.0,INR,,,0,,2024-05-09 17:45:28,2024-05-09 17:49:01,,2024-05-09 18:33:01,1250077267,5792,2024-05-09 17:49:01,1999.00,42.00,2.11,,True,,,,,,
83,83,1051493876,G10167197866,17749,1051493876,23004,Nike [CPS] APAC,Real Pricetracker,,,SG,83,Sales,sale,151.48,pending,0,tabm,,,,,6.49,USD,,,0,,2024-05-09 17:11:19,2024-05-09 17:12:42,,2024-05-09 17:23:09,1250067056,23336,2024-05-09 17:12:42,151.48,6.49,4.29,,True,,,,,,
84,84,1051495246,123179939,5200,1051495246,14627,Flipkart [CPS] IN,Real Pricetracker,,https://www.flipkart.com/,IN,70,New Customer,sale,54999.0,pending,0,gmg,,,,,0.0,INR,,,0,,2024-05-09 16:47:03,2024-05-09 16:48:13,,2024-05-09 17:34:45,1250068972,5686,2024-05-09 16:48:13,54999.00,0.00,0.00,,True,,,,,,
85,85,1052295190,gpt-1076494338|course|4915192,16622,1052295190,22448,Udemy WW,Real Pricetracker,,,HU,833,Paid course,sale,19.34,pending,0,avb,,,,,1.55,USD,,,0,,2024-05-09 13:13:07,2024-05-09 13:27:00,,2024-05-13 13:23:03,1251372287,21660,2024-05-09 13:27:00,19.34,1.55,8.02,,True,,,,,,
86,86,1052295305,gpt-1076421464|course|5774012,16622,1052295305,22448,Udemy WW,Real Pricetracker,,,US,3579,Paid course,sale,13.99,pending,0,,,,,,1.12,USD,,,0,,2024-05-09 08:27:21,2024-05-09 09:27:00,,2024-05-13 13:23:05,1251372406,21660,2024-05-09 09:27:00,13.99,1.12,8.01,,True,,,,,,
87,87,1052295299,gpt-1076421464|course|2401584,16622,1052295299,22448,Udemy WW,Real Pricetracker,,,US,3579,Paid course,sale,13.99,pending,0,,,,,,1.12,USD,,,0,,2024-05-09 08:27:21,2024-05-09 09:27:00,,2024-05-13 13:23:05,1251372398,21660,2024-05-09 09:27:00,13.99,1.12,8.01,,True,,,,,,
88,88,1052295292,gpt-1076421464|course|2401582,16622,1052295292,22448,Udemy WW,Real Pricetracker,,,US,3579,Paid course,sale,13.99,pending,0,,,,,,1.12,USD,,,0,,2024-05-09 08:27:21,2024-05-09 09:27:00,,2024-05-13 13:23:05,1251372392,21660,2024-05-09 09:27:00,13.99,1.12,8.01,,True,,,,,,
89,89,1052295286,gpt-1076421464|course|5774018,16622,1052295286,22448,Udemy WW,Real Pricetracker,,,US,3579,Paid course,sale,13.99,pending,0,,,,,,1.12,USD,,,0,,2024-05-09 08:27:21,2024-05-09 09:27:00,,2024-05-13 13:23:05,1251372386,21660,2024-05-09 09:27:00,13.99,1.12,8.01,,True,,,,,,
90,90,1051323856,481009573,14275,1051323856,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,-38,Conversion,sale,,pending,0,tabm,,,,,0.0,USD,,,0,,2024-05-09 00:57:38,2024-05-09 00:57:00,,2024-05-09 01:23:29,1249768894,18508,2024-05-09 00:57:00,0.00,0.00,0.00,,True,,,,,,
91,91,1052068079,gpt-1076291594|course|808904,16622,1052068079,22448,Udemy WW,Real Pricetracker,,,DE,1804,Paid course,sale,19.34,pending,0,tabm,,,,,1.55,USD,,,0,,2024-05-08 23:02:56,2024-05-08 23:33:00,,2024-05-12 13:23:33,1251020295,21660,2024-05-08 23:33:00,19.34,1.55,8.02,,True,,,,,,
92,92,1052068289,gpt-1076304370|course|4763312,16622,1052068289,22448,Udemy WW,Real Pricetracker,,,BR,-968,Paid course,sale,5.89,pending,0,tabm,,,,,0.47,USD,,,0,,2024-05-08 23:48:08,2024-05-08 23:32:00,,2024-05-12 13:23:35,1251020508,21660,2024-05-08 23:32:00,5.89,0.47,7.98,,True,,,,,,
93,93,1052068272,gpt-1076304370|course|1334432,16622,1052068272,22448,Udemy WW,Real Pricetracker,,,BR,-968,Paid course,sale,6.88,pending,0,tabm,,,,,0.55,USD,,,0,,2024-05-08 23:48:08,2024-05-08 23:32:00,,2024-05-12 13:23:35,1251020489,21660,2024-05-08 23:32:00,6.88,0.55,8.00,,True,,,,,,
94,94,1052068392,gpt-1076275310|course|5602528,16622,1052068392,22448,Udemy WW,Real Pricetracker,,,US,858,Paid course,sale,13.99,pending,0,tabm,,,,,1.12,USD,,,0,,2024-05-08 22:18:42,2024-05-08 22:33:00,,2024-05-12 13:23:36,1251020606,21660,2024-05-08 22:33:00,13.99,1.12,8.01,,True,,,,,,
95,95,1052068229,gpt-1076177982|course|2420534,16622,1052068229,22448,Udemy WW,Real Pricetracker,,,BR,1199,Paid course,sale,5.89,pending,0,tabm,,,,,0.47,USD,,,0,,2024-05-08 18:15:01,2024-05-08 18:35:00,,2024-05-12 13:23:35,1251020446,21660,2024-05-08 18:35:00,5.89,0.47,7.98,,True,,,,,,
96,96,1052068395,gpt-1076192194|course|1295078,16622,1052068395,22448,Udemy WW,Real Pricetracker,,,DK,-1254,Paid course,sale,16.12,pending,0,tabm,,,,,1.29,USD,,,0,,2024-05-08 18:51:54,2024-05-08 18:31:00,,2024-05-12 13:23:36,1251020609,21660,2024-05-08 18:31:00,16.12,1.29,8.01,,True,,,,,,
97,97,1051268649,G10166971497,17749,1051268649,23004,Nike [CPS] APAC,Real Pricetracker,,,MY,12,Sales,sale,32.8,pending,0,tabm,,,,,1.4,USD,,,0,,2024-05-08 16:47:14,2024-05-08 16:47:26,,2024-05-08 17:22:59,1249702700,23336,2024-05-08 16:47:26,32.80,1.40,4.27,,True,,,,,,
98,98,1052068073,gpt-1075954954|course|1356742,16622,1052068073,22448,Udemy WW,Real Pricetracker,,,US,1011,Paid course,sale,27.99,pending,0,tabm,,,,,2.24,USD,,,0,,2024-05-08 05:18:09,2024-05-08 05:35:00,,2024-05-12 13:23:33,1251020288,21660,2024-05-08 05:35:00,27.99,2.24,8.01,,True,,,,,,
99,99,1052068094,gpt-1075954268|course|1121284,16622,1052068094,22448,Udemy WW,Real Pricetracker,,,BR,988,Paid course,sale,6.88,pending,0,tabm,,,,,0.55,USD,,,0,,2024-05-08 05:16:32,2024-05-08 05:33:00,,2024-05-12 13:23:34,1251020310,21660,2024-05-08 05:33:00,6.88,0.55,8.00,,True,,,,,,
100,100,1051076393,480920225,14275,1051076393,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,CL,-36,Conversion,sale,,pending,0,tabm,,,,,0.0,USD,,,0,,2024-05-08 03:11:36,2024-05-08 03:11:00,,2024-05-08 04:22:53,1249107351,18508,2024-05-08 03:11:00,0.00,0.00,0.00,,True,,,,,,
101,101,1051895068,gpt-1075867878|course|4097246,16622,1051895068,22448,Udemy WW,Real Pricetracker,,,ES,760,Paid course,sale,16.14,pending,0,tabm,,,,,1.29,USD,,,0,,2024-05-07 22:17:20,2024-05-07 22:30:00,,2024-05-11 13:24:09,1250731282,21660,2024-05-07 22:30:00,16.14,1.29,8.00,,True,,,,,,
102,102,1051895030,gpt-1075871780|course|1772094,16622,1051895030,22448,Udemy WW,Real Pricetracker,,,ES,-76,Paid course,sale,16.14,pending,0,tabm,,,,,1.29,USD,,,0,,2024-05-07 22:31:16,2024-05-07 22:30:00,,2024-05-11 13:24:09,1250731244,21660,2024-05-07 22:30:00,16.14,1.29,8.00,,True,,,,,,
103,103,1051027723,15962.5971.634115,28955,1051027723,30956,Pdffiller Many Geos,Real Pricetracker,,,GB,810,Sale,sale,,pending,0,tabm,,,,,0.0,USD,,,0,,2024-05-07 21:15:20,2024-05-07 21:28:50,,2024-05-07 21:29:45,1249054508,63584,2024-05-07 21:28:50,0.00,0.00,0.00,,False,,,,,,
104,104,1051895143,gpt-1075790918|course|3899824,16622,1051895143,22448,Udemy WW,Real Pricetracker,,,BR,1379,Paid course,sale,6.87,pending,0,tabm,,,,,0.55,USD,,,0,,2024-05-07 19:10:01,2024-05-07 19:33:00,,2024-05-11 13:24:09,1250731358,21660,2024-05-07 19:33:00,6.87,0.55,8.01,,True,,,,,,
105,105,1050950046,480874371,14275,1050950046,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,13,Conversion,sale,,pending,0,tabm,,,,,0.0,USD,,,0,,2024-05-07 11:33:47,2024-05-07 11:34:00,,2024-05-07 12:22:44,1248960715,18508,2024-05-07 11:34:00,0.00,0.00,0.00,,True,,,,,,
106,106,1051895257,gpt-1075487810|course|657932,16622,1051895257,22448,Udemy WW,Real Pricetracker,,,US,787,Paid course,sale,24.99,pending,0,tabm,,,,,2.0,USD,,,0,,2024-05-07 03:19:53,2024-05-07 03:33:00,,2024-05-11 13:24:10,1250731471,21660,2024-05-07 03:33:00,24.99,2.00,8.01,,True,,,,,,
107,107,1050592353,122070938,5273,1050592353,14627,Flipkart [CPS] IN,Real Pricetracker,,,IN,54,Existing Customer,sale,489.0,pending,0,gmg,,,,,10.5,INR,,,0,,2024-05-06 11:10:35,2024-05-06 11:11:29,,2024-05-06 11:29:58,1248574037,5792,2024-05-06 11:11:29,489.00,10.50,2.15,,True,,,,,,
108,108,1051464179,gpt-1075043516|course|5659150,16622,1051464179,22448,Udemy WW,Real Pricetracker,,,US,-98,Paid course,sale,12.99,pending,0,,,,,,1.04,USD,,,0,,2024-05-06 00:30:38,2024-05-06 00:29:00,,2024-05-09 13:24:53,1250027852,21660,2024-05-06 00:29:00,12.99,1.04,8.01,,True,,,,,,
109,109,1050442792,480729565,14275,1050442792,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,202,Conversion,sale,39.0,pending,0,tabm,,,,,5.57,USD,,,0,,2024-05-05 21:58:38,2024-05-05 22:02:00,,2024-05-05 23:22:28,1248418154,18508,2024-05-05 22:02:00,39.00,5.57,14.29,,True,,,,,,
110,110,1051464140,gpt-1075006462|course|5325480,16622,1051464140,22448,Udemy WW,Real Pricetracker,,,US,-1602,Paid course,sale,13.99,pending,0,tabm,,,,,1.12,USD,,,0,,2024-05-05 21:56:42,2024-05-05 21:30:00,,2024-05-09 13:24:53,1250027815,21660,2024-05-05 21:30:00,13.99,1.12,8.01,,True,,,,,,
111,111,1051464269,gpt-1074968690|course|3385548,16622,1051464269,22448,Udemy WW,Real Pricetracker,,,TR,699,Paid course,sale,4.33,pending,0,tabm,,,,,0.35,USD,,,0,,2024-05-05 20:18:21,2024-05-05 20:30:00,,2024-05-09 13:24:55,1250027944,21660,2024-05-05 20:30:00,4.33,0.35,8.09,,True,,,,,,
112,112,1050335316,81004929828,18868,1050335316,23488,The Derma Co [CPS] IN,Real Pricetracker,,,IN,440,Repeat User - Paid Order,sale,805.6,pending,0,aab,,,,,90.88,INR,,,0,,2024-05-05 10:20:58,2024-05-05 10:28:18,,2024-05-05 10:28:18,1248190759,25005,2024-05-05 10:28:18,805.60,90.88,11.28,642422.0,True,,,,,,
113,113,1051199449,gpt-1074371478|course|1913642,16622,1051199449,22448,Udemy WW,Real Pricetracker,,,HK,1517,Paid course,sale,19.99,pending,0,tabm,,,,,1.6,USD,,,0,,2024-05-04 11:04:43,2024-05-04 11:30:00,,2024-05-08 13:22:59,1249239121,21660,2024-05-04 11:30:00,19.99,1.60,8.01,,True,,,,,,
114,114,1050958523,gpt-1074208954|course|2365840,16622,1050958523,22448,Udemy WW,Real Pricetracker,,,BR,-611,Paid course,sale,5.85,pending,0,tabm,,,,,0.47,USD,,,0,,2024-05-03 21:42:11,2024-05-03 21:32:00,,2024-05-07 13:23:49,1248971257,21660,2024-05-03 21:32:00,5.85,0.47,8.04,,True,,,,,,
115,115,1050042283,233995505,24198,1050042283,26224,EaseUS [CPS] WW,xocoupon,,,FR,-2,Sales,sale,71.78,pending,0,tabm,,,,,21.62,USD,,,0,,2024-05-03 20:43:04,2024-05-03 20:43:02,,2024-05-03 21:27:28,1247697092,32707,2024-05-03 20:43:02,71.78,21.62,30.12,,True,,,,,,
116,116,1050958602,gpt-1073943510|course|3142166,16622,1050958602,22448,Udemy WW,Real Pricetracker,,,US,444,Paid course,sale,21.64,pending,0,tabm,,,,,1.73,USD,,,0,,2024-05-03 04:25:36,2024-05-03 04:33:00,,2024-05-07 13:23:50,1248971336,21660,2024-05-03 04:33:00,21.64,1.73,8.00,,True,,,,,,
117,117,1050958646,gpt-1073936956|course|5445400,16622,1050958646,22448,Udemy WW,Real Pricetracker,,,BR,-1380,Paid course,sale,4.87,pending,0,tabm,,,,,0.39,USD,,,0,,2024-05-03 03:54:00,2024-05-03 03:31:00,,2024-05-07 13:23:51,1248971379,21660,2024-05-03 03:31:00,4.87,0.39,8.01,,True,,,,,,
118,118,1049780825,210300902001026642,14042,1049780825,20881,Alibaba WW,Real Pricetracker,,,US,1338,Paid order ,sale,69.0,pending,0,,,,,,5.5,USD,,,0,,2024-05-02 22:17:05,2024-05-02 22:39:23,,2024-05-02 22:39:23,1247260314,18192,2024-05-02 22:39:23,69.00,3.72,5.40,343578.0,True,,,,,,
119,119,1050626132,gpt-1073871596|course|4802826,16622,1050626132,22448,Udemy WW,Real Pricetracker,,,US,-1537,Paid course,sale,13.99,pending,0,tabm,,,,,1.12,USD,,,0,,2024-05-02 22:55:37,2024-05-02 22:30:00,,2024-05-06 13:23:56,1248610729,21660,2024-05-02 22:30:00,13.99,1.12,8.01,,True,,,,,,
120,120,1050626439,gpt-1073856644|course|446522,16622,1050626439,22448,Udemy WW,Real Pricetracker,,,US,-1518,Paid course,sale,16.95,pending,0,tabm,,,,,1.36,USD,,,0,,2024-05-02 21:55:18,2024-05-02 21:30:00,,2024-05-06 13:23:59,1248611034,21660,2024-05-02 21:30:00,16.95,1.36,8.03,,True,,,,,,
121,121,1049756193,15962.5966.321774,28955,1049756193,30956,Pdffiller Many Geos,Real Pricetracker,,,ES,905,Sale,sale,,pending,0,,,,,,0.0,USD,,,0,,2024-05-02 18:27:45,2024-05-02 18:42:50,,2024-05-02 19:28:12,1247231750,63584,2024-05-02 18:42:50,0.00,0.00,0.00,,False,,,,,,
122,122,1050626178,gpt-1073769602|course|3748024,16622,1050626178,22448,Udemy WW,Real Pricetracker,,,CO,575,Paid course,sale,19.17,pending,0,tabm,,,,,1.53,USD,,,0,,2024-05-02 18:21:25,2024-05-02 18:31:00,,2024-05-06 13:23:57,1248610775,21660,2024-05-02 18:31:00,19.17,1.53,7.99,,True,,,,,,
123,123,1050626154,gpt-1073655170|course|1187016,16622,1050626154,22448,Udemy WW,Real Pricetracker,,,PL,1367,Paid course,sale,9.91,pending,0,tabm,,,,,0.8,USD,,,0,,2024-05-02 14:10:13,2024-05-02 14:33:00,,2024-05-06 13:23:57,1248610754,21660,2024-05-02 14:33:00,9.91,0.80,8.08,,True,,,,,,
124,124,1049615867,24050200972704193832,27281,1049615867,25369,Vevor Many GEOs,Real Pricetracker,,,US,74,Paid Order US,sale,141.54,pending,0,tabm,,,,,7.08,USD,,,0,VEVORCOLE5,2024-05-02 07:18:44,2024-05-02 07:19:58,,2024-05-02 07:19:58,1246946946,37858,2024-05-02 07:19:58,141.54,7.08,5.00,515776.0,True,https://www.vevor.com/thermal-imaging-camera-c_11961/vevor-thermal-imaging-camera-for-android-ios-256-x-192-ir-resolution-wireless-infrared-thermal-imager-with-wifi-visual-camera-25hz-refresh-rate-thermal-camera-for-smartphone-4-f-1022-f-ip54-p_010306931163,KDSRCXY2561956M8NV0,,,,
125,125,1050365279,gpt-1073431348|course|1908196,16622,1050365279,22448,Udemy WW,Real Pricetracker,,,CA,-950,Paid course,sale,20.85,pending,0,tabm,,,,,1.67,USD,,,0,,2024-05-02 01:45:50,2024-05-02 01:30:00,,2024-05-05 13:23:46,1248328496,21660,2024-05-02 01:30:00,20.85,1.67,8.01,,True,,,,,,
126,126,1050365474,gpt-1073314966|course|3001124,16622,1050365474,22448,Udemy WW,Real Pricetracker,,,IT,1783,Paid course,sale,12.79,pending,0,tabm,,,,,1.02,USD,,,0,,2024-05-01 20:03:17,2024-05-01 20:33:00,,2024-05-05 13:23:48,1248328690,21660,2024-05-01 20:33:00,12.79,1.02,7.98,,True,,,,,,
127,127,1050365259,gpt-1073247026|course|4015332,16622,1050365259,22448,Udemy WW,Real Pricetracker,,,BR,-1251,Paid course,sale,5.76,pending,0,tabm,,,,,0.46,USD,,,0,,2024-05-01 17:51:51,2024-05-01 17:31:00,,2024-05-05 13:23:46,1248328477,21660,2024-05-01 17:31:00,5.76,0.46,7.99,,True,,,,,,
128,128,1050365260,gpt-1073127092|course|1759114,16622,1050365260,22448,Udemy WW,Real Pricetracker,,,SA,14,Paid course,sale,22.99,pending,0,tabm,,,,,1.84,USD,,,0,,2024-05-01 13:24:46,2024-05-01 13:25:00,,2024-05-05 13:23:46,1248328478,21660,2024-05-01 13:25:00,22.99,1.84,8.01,,True,,,,,,
129,129,1050358073,gpt-1072951746|course|3591484,16622,1050358073,22448,Udemy WW,Real Pricetracker,,,BR,332,Paid course,sale,4.79,pending,0,tabm,,,,,0.38,USD,,,0,,2024-05-01 04:24:28,2024-05-01 04:30:00,,2024-05-05 12:24:10,1248320242,21660,2024-05-01 04:30:00,4.79,0.38,7.94,,True,,,,,,
130,130,1050358077,gpt-1072941048|course|4980872,16622,1050358077,22448,Udemy WW,Real Pricetracker,,,BR,-570,Paid course,sale,4.79,pending,0,tabm,,,,,0.38,USD,,,0,,2024-05-01 03:41:30,2024-05-01 03:32:00,,2024-05-05 12:24:11,1248320246,21660,2024-05-01 03:32:00,4.79,0.38,7.94,,True,,,,,,
131,131,1050183116,gpt-1072914834|course|1695178,16622,1050183116,22448,Udemy WW,Real Pricetracker,,,BR,1897,Paid course,sale,5.84,pending,0,tabm,,,,,0.47,USD,,,0,,2024-05-01 01:58:23,2024-05-01 02:30:00,,2024-05-04 13:23:36,1248014305,21660,2024-05-01 02:30:00,5.84,0.47,8.05,,True,,,,,,
