index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,positions,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
278,1030816130,gpt-1041855242|course|4682614,16622,1030816130,22448,Udemy WW,Real Pricetracker,,,BR,479,Paid course,sale,5.01,pending,0,tabm,,,,,0.4,USD,,,"[{'id': 1218509063, 'tariff_id': 21660, 'datetime': '2024-02-16 21:57:00', 'amount': '5.01', 'payment': '0.40', 'rate': '7.99', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-16 21:49:01,2024-02-16 21:57:00,,2024-02-20 14:23:48,1218509063,21660,2024-02-16 21:57:00,5.01,0.40,7.99,,True,,,,,,
279,1030816139,gpt-1041850670|course|1561256,16622,1030816139,22448,Udemy WW,Real Pricetracker,,,TR,202,Paid course,sale,14.61,pending,0,tabm,,,,,1.17,USD,,,"[{'id': 1218509073, 'tariff_id': 21660, 'datetime': '2024-02-16 21:30:00', 'amount': '14.61', 'payment': '1.17', 'rate': '8.01', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-16 21:26:38,2024-02-16 21:30:00,,2024-02-20 14:23:48,1218509073,21660,2024-02-16 21:30:00,14.61,1.17,8.01,,True,,,,,,
280,1030816163,gpt-1041776686|course|4788796,16622,1030816163,22448,Udemy WW,Real Pricetracker,,,TR,-242,Paid course,sale,4.54,pending,0,tabm,,,,,0.36,USD,,,"[{'id': 1218509097, 'tariff_id': 21660, 'datetime': '2024-02-16 16:44:00', 'amount': '4.54', 'payment': '0.36', 'rate': '7.93', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-16 16:48:02,2024-02-16 16:44:00,,2024-02-20 14:23:49,1218509097,21660,2024-02-16 16:44:00,4.54,0.36,7.93,,True,,,,,,
281,1029787673,201535298501020551,14042,1029787673,20881,Alibaba WW,Real Pricetracker,,,CH,1515167,Paid order ,sale,145.0,pending,0,,,,,,10.0,USD,,,"[{'id': 1217095721, 'tariff_id': 18192, 'datetime': '2024-02-16 06:31:55', 'amount': '145.00', 'payment': '7.83', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-01-29 17:39:08,2024-02-16 06:31:55,,2024-02-16 06:31:56,1217095721,18192,2024-02-16 06:31:55,145.00,7.83,5.40,343578.0,True,,,,,,
282,1030572108,gpt-1041539350|course|4672448,16622,1030572108,22448,Udemy WW,Real Pricetracker,,,BR,-503,Paid course,sale,5.01,pending,0,tabm,,,,,0.4,USD,,,"[{'id': 1218179718, 'tariff_id': 21660, 'datetime': '2024-02-16 00:45:00', 'amount': '5.01', 'payment': '0.40', 'rate': '7.99', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-16 00:53:23,2024-02-16 00:45:00,,2024-02-19 13:44:47,1218179718,21660,2024-02-16 00:45:00,5.01,0.40,7.99,,True,,,,,,
283,1030572101,gpt-1041539350|course|5546714,16622,1030572101,22448,Udemy WW,Real Pricetracker,,,BR,-503,Paid course,sale,5.01,pending,0,tabm,,,,,0.4,USD,,,"[{'id': 1218179709, 'tariff_id': 21660, 'datetime': '2024-02-16 00:45:00', 'amount': '5.01', 'payment': '0.40', 'rate': '7.99', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-16 00:53:23,2024-02-16 00:45:00,,2024-02-19 13:44:46,1218179709,21660,2024-02-16 00:45:00,5.01,0.40,7.99,,True,,,,,,
284,1030572049,gpt-1041524080|course|5342800,16622,1030572049,22448,Udemy WW,Real Pricetracker,,,TR,306,Paid course,sale,3.25,pending,0,tabm,,,,,0.26,USD,,,"[{'id': 1218179659, 'tariff_id': 21660, 'datetime': '2024-02-15 23:59:00', 'amount': '3.25', 'payment': '0.26', 'rate': '8.00', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-15 23:53:54,2024-02-15 23:59:00,,2024-02-19 13:44:46,1218179659,21660,2024-02-15 23:59:00,3.25,0.26,8.00,,True,,,,,,
285,1030571936,gpt-1041456860|course|4726892,16622,1030571936,22448,Udemy WW,Real Pricetracker,,,TR,-182,Paid course,sale,3.25,pending,0,tabm,,,,,0.26,USD,,,"[{'id': 1218179545, 'tariff_id': 21660, 'datetime': '2024-02-15 20:40:00', 'amount': '3.25', 'payment': '0.26', 'rate': '8.00', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-15 20:43:02,2024-02-15 20:40:00,,2024-02-19 13:44:45,1218179545,21660,2024-02-15 20:40:00,3.25,0.26,8.00,,True,,,,,,
286,1030571920,gpt-1041456860|course|58207,16622,1030571920,22448,Udemy WW,Real Pricetracker,,,TR,-182,Paid course,sale,4.88,pending,0,tabm,,,,,0.39,USD,,,"[{'id': 1218179529, 'tariff_id': 21660, 'datetime': '2024-02-15 20:40:00', 'amount': '4.88', 'payment': '0.39', 'rate': '8.00', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-15 20:43:02,2024-02-15 20:40:00,,2024-02-19 13:44:45,1218179529,21660,2024-02-15 20:40:00,4.88,0.39,8.00,,True,,,,,,
287,1030572074,gpt-1041444420|course|2925588,16622,1030572074,22448,Udemy WW,Real Pricetracker,,,PL,1250,Paid course,sale,12.35,pending,0,tabm,,,,,0.99,USD,,,"[{'id': 1218179684, 'tariff_id': 21660, 'datetime': '2024-02-15 20:29:00', 'amount': '12.35', 'payment': '0.99', 'rate': '8.02', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-15 20:08:10,2024-02-15 20:29:00,,2024-02-19 13:44:46,1218179684,21660,2024-02-15 20:29:00,12.35,0.99,8.02,,True,,,,,,
288,1030571764,gpt-1041441418|course|1565838,16622,1030571764,22448,Udemy WW,Real Pricetracker,,,BE,1423,Paid course,sale,13.93,pending,0,tabm,,,,,1.12,USD,,,"[{'id': 1218179373, 'tariff_id': 21660, 'datetime': '2024-02-15 20:29:00', 'amount': '13.93', 'payment': '1.12', 'rate': '8.05', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-15 20:05:17,2024-02-15 20:29:00,,2024-02-19 13:44:44,1218179373,21660,2024-02-15 20:29:00,13.93,1.12,8.05,,True,,,,,,
289,1030571750,gpt-1041441418|course|1219332,16622,1030571750,22448,Udemy WW,Real Pricetracker,,,BE,1423,Paid course,sale,16.08,pending,0,tabm,,,,,1.28,USD,,,"[{'id': 1218179358, 'tariff_id': 21660, 'datetime': '2024-02-15 20:29:00', 'amount': '16.08', 'payment': '1.28', 'rate': '7.97', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-15 20:05:17,2024-02-15 20:29:00,,2024-02-19 13:44:43,1218179358,21660,2024-02-15 20:29:00,16.08,1.28,7.97,,True,,,,,,
290,1030571906,gpt-1041431444|course|2247746,16622,1030571906,22448,Udemy WW,Real Pricetracker,,,TR,605,Paid course,sale,4.88,pending,0,tabm,,,,,0.39,USD,,,"[{'id': 1218179515, 'tariff_id': 21660, 'datetime': '2024-02-15 19:56:00', 'amount': '4.88', 'payment': '0.39', 'rate': '8.00', 'rate_id': None, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-15 19:45:55,2024-02-15 19:56:00,,2024-02-19 13:44:45,1218179515,21660,2024-02-15 19:56:00,4.88,0.39,8.00,,True,,,,,,
